,Open,High,Low,Close,Volume
2015-08-03 14:04:06,1186375,1186375,1186375,1186375,25
2015-08-03 14:04:07,1186301,1186499,1186300,1186499,7244
2015-08-03 14:04:08,1186400,1186400,1186400,1186400,100
2015-08-03 14:04:09,1186490,1186500,1186400,1186438,405
2015-08-03 14:04:10,1186400,1186447,1186400,1186447,732
2015-08-03 14:04:11,1186490,1186490,1186400,1186400,112
2015-08-03 14:04:12,1186400,1186499,1186400,1186460,165
2015-08-03 14:04:13,1186500,1186800,1186500,1186800,6609
2015-08-03 14:04:14,1186800,1186800,1186600,1186600,4533
2015-08-03 14:04:15,1186600,1186900,1186600,1186800,2973
2015-08-03 14:04:16,1186800,1186900,1186400,1186700,35398
2015-08-03 14:04:17,1186500,1186600,1186401,1186500,1093
2015-08-03 14:04:18,1186400,1186800,1186400,1186800,1112
2015-08-03 14:04:19,1186500,1186850,1186400,1186425,3119
2015-08-03 14:04:20,1186599,1186599,1186490,1186490,344
2015-08-03 14:04:21,1186600,1186600,1186600,1186600,60
2015-08-03 14:04:22,1186550,1186550,1186550,1186550,25
2015-08-03 14:04:23,1186500,1186550,1186500,1186550,700
2015-08-03 14:04:24,1186538,1186550,1186400,1186400,2450
2015-08-03 14:04:25,1186501,1186501,1186300,1186300,112
2015-08-03 14:04:26,1186350,1186389,1186328,1186328,1501
2015-08-03 14:04:27,1186380,1186399,1186353,1186399,762
2015-08-03 14:04:28,1186350,1186350,1186300,1186300,1100
2015-08-03 14:04:29,1186338,1186399,1186200,1186200,4861
2015-08-03 14:04:30,1186200,1186500,1186200,1186490,5394
2015-08-03 14:04:31,1186400,1186600,1186250,1186600,26357
2015-08-03 14:04:32,1186600,1186690,1186600,1186650,2510
2015-08-03 14:04:33,1186690,1186690,1186200,1186200,675
2015-08-03 14:04:34,1186700,1186700,1186500,1186550,2640
2015-08-03 14:04:35,1186500,1186625,1186500,1186601,2380
2015-08-03 14:04:36,1186600,1186650,1186538,1186599,1878
2015-08-03 14:04:37,1186550,1186600,1186550,1186600,311
2015-08-03 14:04:38,1186599,1186600,1186599,1186600,106
2015-08-03 14:04:39,1186600,1186699,1186600,1186699,900
2015-08-03 14:04:40,1186650,1186699,1186650,1186699,101
2015-08-03 14:04:41,1186650,1186650,1186650,1186650,151
2015-08-03 14:04:42,1186600,1186650,1186500,1186597,4720
2015-08-03 14:04:43,1186501,1186501,1186501,1186501,37
2015-08-03 14:04:44,1186550,1186600,1186400,1186600,8492
2015-08-03 14:04:45,1186599,1186699,1186500,1186601,3928
2015-08-03 14:04:46,1186550,1186600,1186550,1186600,600
2015-08-03 14:04:47,1186600,1186600,1186300,1186505,11405
2015-08-03 14:04:48,1186400,1186400,1186350,1186399,201
2015-08-03 14:04:49,1186350,1186350,1186200,1186300,2100
2015-08-03 14:04:50,1186200,1186200,1186101,1186170,4429
2015-08-03 14:04:51,1186199,1186200,1186100,1186200,1763
2015-08-03 14:04:52,1186260,1186300,1186260,1186300,2135
2015-08-03 14:04:53,1186400,1186599,1186400,1186599,3648
2015-08-03 14:04:54,1186500,1186500,1186400,1186440,2586
2015-08-03 14:04:55,1186489,1186500,1186400,1186400,1034
2015-08-03 14:04:56,1186350,1186400,1186300,1186300,715
2015-08-03 14:04:57,1186399,1186400,1186300,1186390,2830
2015-08-03 14:04:58,1186399,1186500,1186399,1186400,5950
2015-08-03 14:04:59,1186446,1186500,1186310,1186500,3760
2015-08-03 14:05:00,1186500,1186500,1186300,1186500,1166
2015-08-03 14:05:01,1186499,1186500,1186400,1186500,11323
2015-08-03 14:05:02,1186400,1186499,1186400,1186490,217
2015-08-03 14:05:03,1186499,1186499,1186499,1186499,35
2015-08-03 14:05:04,1186499,1186499,1186401,1186401,595
2015-08-03 14:05:05,1186453,1186499,1186400,1186400,500
2015-08-03 14:05:06,1186467,1186467,1186467,1186467,129
2015-08-03 14:05:07,1186453,1186499,1186453,1186499,410
2015-08-03 14:05:08,1186425,1186490,1186400,1186400,106
2015-08-03 14:05:09,1186400,1186499,1186200,1186200,3648
2015-08-03 14:05:10,1186378,1186378,1186378,1186378,1
2015-08-03 14:05:11,1186299,1186299,1186299,1186299,35
2015-08-03 14:05:12,1186290,1186300,1186200,1186250,3843
2015-08-03 14:05:13,1186300,1186300,1186200,1186200,2290
2015-08-03 14:05:14,1186200,1186262,1186100,1186100,825
2015-08-03 14:05:15,1186199,1186200,1186199,1186200,377
2015-08-03 14:05:16,1186238,1186238,1186238,1186238,31
2015-08-03 14:05:17,1186101,1186101,1186101,1186101,5
2015-08-03 14:05:18,1186296,1186300,1186100,1186238,370
2015-08-03 14:05:20,1186200,1186290,1186200,1186209,2046
2015-08-03 14:05:21,1186300,1186389,1186300,1186389,3260
2015-08-03 14:05:22,1186338,1186400,1186338,1186400,636
2015-08-03 14:05:23,1186300,1186480,1186200,1186475,6424
2015-08-03 14:05:24,1186500,1186500,1186400,1186475,2135
2015-08-03 14:05:25,1186400,1186433,1186300,1186433,1948
2015-08-03 14:05:26,1186400,1186400,1186400,1186400,100
2015-08-03 14:05:27,1186400,1186400,1186300,1186300,990
2015-08-03 14:05:29,1186400,1186400,1186300,1186400,1795
2015-08-03 14:05:30,1186390,1186400,1186390,1186400,500
2015-08-03 14:05:31,1186399,1186400,1186350,1186399,2643
2015-08-03 14:05:32,1186400,1186400,1186200,1186200,4973
2015-08-03 14:05:33,1186200,1186200,1186199,1186200,102
2015-08-03 14:05:34,1186175,1186200,1186100,1186100,970
2015-08-03 14:05:35,1186090,1186090,1185800,1185800,9095
2015-08-03 14:05:36,1185800,1185890,1185600,1185600,2077
2015-08-03 14:05:37,1185600,1185700,1185600,1185605,620
2015-08-03 14:05:38,1185699,1185699,1185620,1185620,240
2015-08-03 14:05:39,1185699,1185699,1185699,1185699,22
2015-08-03 14:05:40,1185699,1185700,1185699,1185700,1177
2015-08-03 14:05:41,1185700,1185700,1185600,1185690,390
2015-08-03 14:05:43,1185700,1185700,1185700,1185700,100
2015-08-03 14:05:44,1185700,1185700,1185700,1185700,86
2015-08-03 14:05:45,1185700,1185790,1185700,1185790,205
2015-08-03 14:05:46,1185700,1185800,1185700,1185800,687
2015-08-03 14:05:47,1185700,1185800,1185600,1185700,5351
2015-08-03 14:05:48,1185600,1185600,1185600,1185600,674
2015-08-03 14:05:49,1185500,1185680,1185500,1185530,504
2015-08-03 14:05:51,1185600,1185600,1185500,1185527,2401
2015-08-03 14:05:52,1185550,1185550,1185300,1185300,1285
